Time,"LP_latitude, longitude790",lp_total_load_kW,trafo_preload_kW,lp_occupancy,storage_lp, storage_soc,trafo_loading_kW
2018-01-01 00:00:00,0.0,0.0,17.688,0.0,3.75,0.51255,21.438
2018-01-01 00:01:00,0.0,0.0,17.688,0.0,3.75,0.525098745,21.438
2018-01-01 00:02:00,0.0,0.0,17.688,0.0,3.75,0.5376462351254999,21.438
2018-01-01 00:03:00,0.0,0.0,17.688,0.0,3.75,0.5501924705019874,21.438
2018-01-01 00:04:00,0.0,0.0,17.688,0.0,3.75,0.5627374512549371,21.438
2018-01-01 00:05:00,0.0,0.0,17.688,0.0,3.75,0.5752811775098116,21.438
2018-01-01 00:06:00,0.0,0.0,17.688,0.0,3.75,0.5878236493920606,21.438
2018-01-01 00:07:00,0.0,0.0,17.688,0.0,3.75,0.6003648670271213,21.438
2018-01-01 00:08:00,0.0,0.0,17.688,0.0,3.75,0.6129048305404187,21.438
2018-01-01 00:09:00,0.0,0.0,17.688,0.0,3.75,0.6254435400573646,21.438
2018-01-01 00:10:00,0.0,0.0,17.688,0.0,3.75,0.6379809957033589,21.438
2018-01-01 00:11:00,0.0,0.0,17.650199999999998,0.0,3.75,0.6505171976037885,21.400199999999998
2018-01-01 00:12:00,0.0,0.0,17.612399999999997,0.0,3.75,0.6630521458840282,21.362399999999997
2018-01-01 00:13:00,0.0,0.0,17.5746,0.0,3.75,0.6755858406694397,21.3246
2018-01-01 00:14:00,0.0,0.0,17.5368,0.0,3.75,0.6881182820853728,21.2868
2018-01-01 00:15:00,0.0,0.0,17.499,0.0,3.75,0.7006494702571644,21.249
2018-01-01 00:16:00,0.0,0.0,17.461199999999998,0.0,3.75,0.7131794053101387,21.211199999999998
2018-01-01 00:17:00,0.0,0.0,17.423399999999997,0.0,3.75,0.7257080873696077,21.173399999999997
2018-01-01 00:18:00,0.0,0.0,17.3856,0.0,3.75,0.7382355165608707,21.1356
2018-01-01 00:19:00,0.0,0.0,17.3478,0.0,3.75,0.7507616930092146,21.0978
2018-01-01 00:20:00,0.0,0.0,17.31,0.0,3.75,0.7632866168399136,21.06
2018-01-01 00:21:00,0.0,0.0,17.282899999999998,0.0,3.75,0.7758102881782296,21.032899999999998
2018-01-01 00:22:00,0.0,0.0,17.2558,0.0,3.75,0.7883327071494118,21.0058
2018-01-01 00:23:00,0.0,0.0,17.2287,0.0,3.75,0.8008538738786969,20.9787
2018-01-01 00:24:00,0.0,0.0,17.2016,0.0,3.733989864774433,0.8133204213738905,20.935589864774432
2018-01-01 00:25:00,0.0,0.0,17.174500000000002,0.0,3.5002420992395535,0.8250065629958849,20.674742099239555
2018-01-01 00:26:00,0.0,0.0,17.1474,0.0,3.2811269438271577,0.8359611521523427,20.42852694382716
2018-01-01 00:27:00,0.0,0.0,17.1203,0.0,3.0757283971435747,0.846229984027606,20.196028397143575
2018-01-01 00:28:00,0.0,0.0,17.0932,0.0,2.8831877994823882,0.8558559870274779,19.97638779948239
2018-01-01 00:29:00,0.0,0.0,17.066100000000002,0.0,2.7027002432347893,0.8648794022395577,19.768800243234793
2018-01-01 00:30:00,0.0,0.0,17.039,0.0,2.5335112080082927,0.8733379516593613,19.572511208008294
2018-01-01 00:31:00,0.0,0.0,17.246000000000002,0.0,2.374913406386975,0.8812669958854855,19.620913406386975
2018-01-01 00:32:00,0.0,0.0,17.453000000000003,0.0,2.2262438271471465,0.8886996819430542,19.67924382714715
2018-01-01 00:33:00,0.0,0.0,17.66,0.0,2.086880963567735,0.8956670818534189,19.746880963567733
2018-01-01 00:34:00,0.0,0.0,17.867,0.0,1.9562422152483951,0.9021983225293949,19.823242215248396
2018-01-01 00:35:00,0.0,0.0,18.074,0.0,1.8337814525738454,0.9083207075390547,19.907781452573847
2018-01-01 00:36:00,0.0,0.0,18.281000000000002,0.0,1.7189867336427245,0.9140598312471099,19.99998673364273
2018-01-01 00:37:00,0.0,0.0,18.488000000000003,0.0,1.6113781641166898,0.9194396858110409,20.099378164116693
2018-01-01 00:38:00,0.0,0.0,18.695,0.0,1.510505891042984,0.9244827614792698,20.205505891042986
2018-01-01 00:39:00,0.0,0.0,18.902,0.0,1.4159482222636917,0.9292101406106674,20.31794822226369
2018-01-01 00:40:00,0.0,0.0,19.109,0.0,1.3273098635499858,0.9336415858084397,20.436309863549987
2018-01-01 00:41:00,0.0,0.0,19.310100000000002,0.0,1.2442202660917556,0.9377956225368314,20.554320266091757
2018-01-01 00:42:00,0.0,0.0,19.511200000000002,0.0,1.1663320774344121,0.9416896165660257,20.677532077434414
2018-01-01 00:43:00,0.0,0.0,19.712300000000003,0.0,1.0933196893870185,0.9453398465689924,20.805619689387022
2018-01-01 00:44:00,0.0,0.0,19.913400000000003,0.0,1.0248778768313926,0.9487615721737734,20.938277876831396
2018-01-01 00:45:00,0.0,0.0,20.1145,0.0,0.960720521741748,0.9519690977556952,21.07522052174175
2018-01-01 00:46:00,0.0,0.0,20.3156,0.0,0.9005794170807158,0.9549758322361885,21.216179417080717
2018-01-01 00:47:00,0.0,0.0,20.5167,0.0,0.8442031455714649,0.9577943451382029,21.360903145571466
2018-01-01 00:48:00,0.0,0.0,20.7178,0.0,0.7913560286586949,0.9604364191325514,21.509156028658694
2018-01-01 00:49:00,0.0,0.0,20.9189,0.0,0.7418171412646613,0.9629130992948538,21.660717141264662
2018-01-01 00:50:00,0.0,0.0,21.12,0.0,0.6953793882214911,0.965234739278996,21.81537938822149
2018-01-01 00:51:00,0.0,0.0,20.9406,0.0,0.651848638518826,0.9674110446001309,21.592448638518825
