,Uncontrolled,Discrimintation Free,"First Come, First Served",With Battery,Cost optimized,Uncontrolled_Trafolast,Discrimintation Free_Trafolast,"First Come, First Served_Trafolast",With Battery_Trafolast,Cost optimized_Trafolast,Preload,Energy_price_(Euro/MWh),CO2e(kg/kWh)
40,0.0,0.0,0.0,0.0,0.0,82.369,82.369,82.369,84.47764483276943,82.369,82.369,169.31459999999998,0.73
41,0.0,0.0,0.0,0.0,0.0,82.3289,82.3289,82.3289,84.34968442053956,82.3289,82.3289,168.8646,0.73
42,0.0,0.0,0.0,0.0,0.0,82.2888,82.2888,82.2888,84.2253848676053,82.2888,82.2888,168.41459999999998,0.73
43,0.0,0.0,0.0,0.0,0.0,82.2487,82.2487,82.2487,84.1045936377966,82.2487,82.2487,167.9646,0.73
44,0.0,0.0,0.0,0.0,0.0,82.2086,82.2086,82.2086,83.98716455063237,82.2086,82.2086,167.51459999999997,0.73
45,0.0,0.0,0.0,0.0,0.0,82.1685,82.1685,82.1685,83.87295751649957,82.1685,82.1685,167.06459999999998,0.73
46,0.0,0.0,0.0,0.0,0.0,82.1284,82.1284,82.1284,83.76183828286634,82.1284,82.1284,166.6146,0.73
47,0.0,0.0,0.0,0.0,0.0,82.0883,82.0883,82.0883,83.65367819106974,82.0883,82.0883,166.16459999999998,0.73
48,0.0,0.0,0.0,0.0,0.0,82.04820000000001,82.04820000000001,82.04820000000001,83.54835394323736,82.04820000000001,82.04820000000001,165.7146,0.73
49,0.0,0.0,0.0,0.0,0.0,82.0081,82.0081,82.0081,83.4457473789204,82.0081,82.0081,165.26459999999997,0.73
50,0.0,0.0,0.0,0.0,0.0,81.968,81.968,81.968,83.34574526103398,81.968,81.968,164.81459999999998,0.73
51,0.0,0.0,0.0,0.0,0.0,81.8643,81.8643,81.8643,83.18463907071637,81.8643,81.8643,164.3646,0.73
52,0.0,0.0,0.0,0.0,0.0,81.7606,81.7606,81.7606,83.02592481073594,81.7606,81.7606,163.91459999999998,0.73
53,0.0,0.0,0.0,0.0,0.0,81.65690000000001,81.65690000000001,81.65690000000001,82.86950281708948,81.65690000000001,81.65690000000001,163.4646,0.73
54,0.0,0.0,0.0,0.0,0.0,81.5532,81.5532,81.5532,82.71527757845047,81.5532,81.5532,163.01459999999997,0.73
55,0.0,0.0,0.0,0.0,0.0,81.4495,81.4495,81.4495,82.5631575631406,81.4495,81.4495,162.56459999999998,0.73
56,0.0,0.0,0.0,0.0,0.0,81.3458,81.3458,81.3458,82.41305505331066,81.3458,81.3458,162.1146,0.73
