,total Load,price
223,0.0,-66.15
224,0.0,-66.2
225,0.0,-66.25
226,0.0,-66.3
227,0.0,-66.35
228,0.0,-66.4
229,0.0,-66.45
230,0.0,-66.5
231,0.0,-66.55
232,0.0,-66.6
233,0.0,-66.65
234,0.0,-66.7
235,0.0,-66.75
236,0.0,-66.8
237,0.0,-66.85
238,0.0,-66.9
239,0.0,-66.95
240,0.0,-67.0
241,0.0,-67.08333333333333
242,0.0,-67.16666666666667
243,0.0,-67.25
244,0.0,-67.33333333333333
245,0.0,-67.41666666666667
246,0.0,-67.5
247,0.0,-67.58333333333333
248,0.0,-67.66666666666667
249,0.0,-67.75
250,0.0,-67.83333333333333
251,0.0,-67.91666666666667
252,0.0,-68.0
253,0.0,-68.08333333333333
254,0.0,-68.16666666666667
255,0.0,-68.25
256,0.0,-68.33333333333333
257,0.0,-68.41666666666667
258,0.0,-68.5
259,0.0,-68.58333333333333
260,0.0,-68.66666666666667
261,0.0,-68.75
262,0.0,-68.83333333333333
263,0.0,-68.91666666666667
264,0.0,-69.0
265,0.0,-69.08333333333333
266,0.0,-69.16666666666667
267,0.0,-69.25
268,0.0,-69.33333333333333
269,0.0,-69.41666666666667
270,0.0,-69.5
271,0.0,-69.58333333333333
272,0.0,-69.66666666666667
273,0.0,-69.75
274,0.0,-69.83333333333333
275,0.0,-69.91666666666667
276,0.0,-70.0
277,0.0,-70.08333333333333
278,0.0,-70.16666666666667
279,0.0,-70.25
280,0.0,-70.33333333333333
281,0.0,-70.41666666666667
282,0.0,-70.5
283,0.0,-70.58333333333333
284,0.0,-70.66666666666667
285,0.0,-70.75
286,0.0,-70.83333333333333
287,0.0,-70.91666666666667
288,0.0,-71.0
289,0.0,-71.08333333333333
290,0.0,-71.16666666666667
291,0.0,-71.25
292,0.0,-71.33333333333333
293,0.0,-71.41666666666667
294,0.0,-71.5
295,0.0,-71.58333333333333
296,0.0,-71.66666666666667
297,0.0,-71.75
298,0.0,-71.83333333333333
299,0.0,-71.91666666666667
300,0.0,-72.0
301,0.0,-72.06666666666666
302,0.0,-72.13333333333334
303,0.0,-72.2
304,0.0,-72.26666666666667
305,0.0,-72.33333333333333
306,0.0,-72.4
307,0.0,-72.46666666666667
308,0.0,-72.53333333333333
309,0.0,-72.6
310,0.0,-72.66666666666667
311,0.0,-72.73333333333333
312,0.0,-72.8
313,0.0,-72.86666666666666
314,0.0,-72.93333333333334
315,0.0,-73.0
316,0.0,-73.06666666666666
317,0.0,-73.13333333333334
318,0.0,-73.2
319,0.0,-73.26666666666667
320,0.0,-73.33333333333333
321,0.0,-73.4
322,0.0,-73.46666666666667
323,0.0,-73.53333333333333
324,0.0,-73.6
325,0.0,-73.66666666666667
326,0.0,-73.73333333333333
327,0.0,-73.8
328,0.0,-73.86666666666666
329,0.0,-73.93333333333334
330,0.0,-74.0
331,0.0,-74.06666666666666
332,0.0,-74.13333333333334
333,0.0,-74.2
334,0.0,-74.26666666666667
335,0.0,-74.33333333333333
336,0.0,-74.4
337,0.0,-74.46666666666667
338,0.0,-74.53333333333333
339,0.0,-74.6
340,0.0,-74.66666666666667
341,0.0,-74.73333333333333
342,0.0,-74.8
343,0.0,-74.86666666666666
344,0.0,-74.93333333333334
345,0.0,-75.0
346,0.0,-75.06666666666666
347,0.0,-75.13333333333334
348,0.0,-75.2
349,0.0,-75.26666666666667
350,0.0,-75.33333333333333
351,0.0,-75.4
352,0.0,-75.46666666666667
353,0.0,-75.53333333333333
354,0.0,-75.6
355,0.0,-75.66666666666667
356,0.0,-75.73333333333333
357,0.0,-75.8
358,0.0,-75.86666666666666
359,0.0,-75.93333333333334
360,0.0,-76.0
361,0.0,-75.91666666666667
362,0.0,-75.83333333333333
363,0.0,-75.75
364,0.0,-75.66666666666667
365,0.0,-75.58333333333333
366,0.0,-75.5
367,0.0,-75.41666666666667
368,0.0,-75.33333333333333
369,0.0,-75.25
370,0.0,-75.16666666666667
371,0.0,-75.08333333333333
372,0.0,-75.0
373,0.0,-74.91666666666667
374,0.0,-74.83333333333333
375,0.0,-74.75
