Time,"LP_latitude, longitude143",lp_total_load_kW,trafo_preload_kW,lp_occupancy,trafo_loading_kW
2018-01-01 14:06:00,2.8557058617817432e-06,2.8557058617817432e-06,196.22740000000002,1.0,196.2274028557059
2018-01-01 14:07:00,2.7902623106479396e-06,2.7902623106479396e-06,195.4683,1.0,195.4683027902623
2018-01-01 14:08:00,2.7263185220505193e-06,2.7263185220505193e-06,194.7092,1.0,194.70920272631852
2018-01-01 14:09:00,2.6638401179335247e-06,2.6638401179335247e-06,193.9501,1.0,193.9501026638401
2018-01-01 14:10:00,2.6027935262629143e-06,2.6027935262629143e-06,193.191,1.0,193.19100260279353
2018-01-01 14:11:00,2.543145919964296e-06,2.543145919964296e-06,196.9028,1.0,196.90280254314592
2018-01-01 14:12:00,2.4848652413478334e-06,2.4848652413478334e-06,200.6146,1.0,200.61460248486523
2018-01-01 14:13:00,2.4279201593646604e-06,2.4279201593646604e-06,204.3264,1.0,204.32640242792016
2018-01-01 14:14:00,2.372280075713107e-06,2.372280075713107e-06,208.0382,1.0,208.03820237228007
2018-01-01 14:15:00,2.317915082095112e-06,2.317915082095112e-06,211.75,1.0,211.7500023179151
2018-01-01 14:16:00,2.264795960216226e-06,2.264795960216226e-06,215.46179999999998,1.0,215.46180226479595
2018-01-01 14:17:00,2.212894157360701e-06,2.212894157360701e-06,219.1736,1.0,219.17360221289414
2018-01-01 14:18:00,2.162181780285266e-06,2.162181780285266e-06,222.8854,1.0,222.88540216218178
2018-01-01 14:19:00,2.112631570794221e-06,2.112631570794221e-06,226.5972,1.0,226.59720211263155
2018-01-01 14:20:00,2.0642168874207556e-06,2.0642168874207556e-06,230.309,1.0,230.30900206421688
2018-01-01 14:21:00,2.0169117176394025e-06,2.0169117176394025e-06,227.99699999999999,1.0,227.9970020169117
2018-01-01 14:22:00,1.9706906229099985e-06,1.9706906229099985e-06,225.685,1.0,225.68500197069062
2018-01-01 14:23:00,1.925528763102591e-06,1.925528763102591e-06,223.373,1.0,223.37300192552874
2018-01-01 14:24:00,1.8814018659663034e-06,1.8814018659663034e-06,221.061,1.0,221.06100188140186
2018-01-01 14:25:00,1.838286221023111e-06,1.838286221023111e-06,218.749,1.0,218.7490018382862
2018-01-01 14:26:00,1.7961586429304788e-06,1.7961586429304788e-06,216.43699999999998,1.0,216.43700179615863
2018-01-01 14:27:00,1.7549964959062692e-06,1.7549964959062692e-06,214.125,1.0,214.1250017549965
2018-01-01 14:28:00,1.714777657091382e-06,1.714777657091382e-06,211.813,1.0,211.81300171477764
2018-01-01 14:29:00,1.6754805043373011e-06,1.6754805043373011e-06,209.501,1.0,209.5010016754805
2018-01-01 14:30:00,1.6370839039936413e-06,1.6370839039936413e-06,207.189,1.0,207.1890016370839
2018-01-01 14:31:00,1.5995672292268281e-06,1.5995672292268281e-06,207.25,1.0,207.25000159956724
2018-01-01 14:32:00,1.5629103172765113e-06,1.5629103172765113e-06,207.311,1.0,207.31100156291032
2018-01-01 14:33:00,1.527093469455565e-06,1.527093469455565e-06,207.37199999999999,1.0,207.37200152709346
2018-01-01 14:34:00,1.4920974267251808e-06,1.4920974267251808e-06,207.433,1.0,207.43300149209742
2018-01-01 14:35:00,1.457903375801095e-06,1.457903375801095e-06,207.494,1.0,207.49400145790338
2018-01-01 14:36:00,1.4244929491535885e-06,1.4244929491535885e-06,207.555,1.0,207.55500142449296
2018-01-01 14:37:00,1.3918481822638995e-06,1.3918481822638995e-06,207.616,1.0,207.6160013918482
2018-01-01 14:38:00,1.3599515197304513e-06,1.3599515197304513e-06,207.677,1.0,207.6770013599515
2018-01-01 14:39:00,1.3287858274813047e-06,1.3287858274813047e-06,207.738,1.0,207.73800132878583
2018-01-01 14:40:00,1.2983343561367988e-06,1.2983343561367988e-06,207.799,1.0,207.79900129833436
2018-01-01 14:41:00,1.268580734903324e-06,1.268580734903324e-06,206.9298,1.0,206.92980126858075
2018-01-01 14:42:00,1.239508971573322e-06,1.239508971573322e-06,206.0606,1.0,206.06060123950897
2018-01-01 14:43:00,1.2111034342066063e-06,1.2111034342066063e-06,205.19140000000002,1.0,205.19140121110345
2018-01-01 14:44:00,1.1833488633428146e-06,1.1833488633428146e-06,204.3222,1.0,204.32220118334888
2018-01-01 14:45:00,1.1562303414702768e-06,1.1562303414702768e-06,203.453,1.0,203.45300115623036
2018-01-01 14:46:00,1.129733274707334e-06,1.129733274707334e-06,202.5838,1.0,202.58380112973327
2018-01-01 14:47:00,1.1038434477583792e-06,1.1038434477583792e-06,201.7146,1.0,201.71460110384345
2018-01-01 14:48:00,1.07854692621423e-06,1.07854692621423e-06,200.8454,1.0,200.84540107854693
2018-01-01 14:49:00,1.053830117614396e-06,1.053830117614396e-06,199.9762,1.0,199.97620105383012
2018-01-01 14:50:00,1.0296797409159453e-06,1.0296797409159453e-06,199.107,1.0,199.10700102967974
2018-01-01 14:51:00,1.0060828203872774e-06,1.0060828203872774e-06,198.377,1.0,198.37700100608282
2018-01-01 14:52:00,9.830266550769906e-07,9.830266550769906e-07,197.647,1.0,197.64700098302666
2018-01-01 14:53:00,9.604988615574683e-07,9.604988615574683e-07,196.917,1.0,196.91700096049885
2018-01-01 14:54:00,9.384873311812925e-07,9.384873311812925e-07,196.18699999999998,1.0,196.1870009384873
2018-01-01 14:55:00,9.169802422936968e-07,9.169802422936968e-07,195.457,1.0,195.45700091698023
2018-01-01 14:56:00,8.959660174889805e-07,8.959660174889805e-07,194.727,1.0,194.72700089596603
2018-01-01 14:57:00,8.75433378566548e-07,8.75433378566548e-07,193.99699999999999,1.0,193.99700087543337
2018-01-01 14:58:00,8.553712793624157e-07,8.553712793624157e-07,193.267,1.0,193.26700085537126
2018-01-01 14:59:00,8.357689301741189e-07,8.357689301741189e-07,192.53699999999998,1.0,192.5370008357689
2018-01-01 15:00:00,8.166158099731646e-07,8.166158099731646e-07,191.807,1.0,191.8070008166158
2018-01-01 15:01:00,7.979016236614456e-07,7.979016236614456e-07,192.1103,1.0,192.11030079790163
2018-01-01 15:02:00,7.796162959650133e-07,7.796162959650133e-07,192.4136,1.0,192.4136007796163
2018-01-01 15:03:00,7.617500141776645e-07,7.617500141776645e-07,192.71689999999998,1.0,192.71690076175
2018-01-01 15:04:00,7.442931609924486e-07,7.442931609924486e-07,193.0202,1.0,193.02020074429316
2018-01-01 15:05:00,7.2723636335148e-07,7.2723636335148e-07,193.3235,1.0,193.32350072723636
2018-01-01 15:06:00,7.10570455808579e-07,7.10570455808579e-07,193.6268,1.0,193.62680071057045
2018-01-01 15:07:00,6.942864805292714e-07,6.942864805292714e-07,193.9301,1.0,193.9301006942865
2018-01-01 15:08:00,6.783756750783354e-07,6.783756750783354e-07,194.2334,1.0,194.23340067837566
2018-01-01 15:09:00,6.628294968447079e-07,6.628294968447079e-07,194.5367,1.0,194.5367006628295
2018-01-01 15:10:00,6.476395864041251e-07,6.476395864041251e-07,194.84,1.0,194.84000064763958
2018-01-01 15:11:00,6.327977797315754e-07,6.327977797315754e-07,194.3684,1.0,194.3684006327978
2018-01-01 15:12:00,6.182961020950728e-07,6.182961020950728e-07,193.8968,1.0,193.8968006182961
2018-01-01 15:13:00,6.041267497369773e-07,6.041267497369773e-07,193.4252,1.0,193.42520060412673
2018-01-01 15:14:00,5.902821204051278e-07,5.902821204051278e-07,192.9536,1.0,192.95360059028212
2018-01-01 15:15:00,5.767547645030291e-07,5.767547645030291e-07,192.482,1.0,192.48200057675476
2018-01-01 15:16:00,5.635374156209849e-07,5.635374156209849e-07,192.0104,1.0,192.01040056353742
2018-01-01 15:17:00,5.50622960004965e-07,5.50622960004965e-07,191.5388,1.0,191.53880055062297
2018-01-01 15:18:00,5.380044548752849e-07,5.380044548752849e-07,191.06719999999999,1.0,191.06720053800444
2018-01-01 15:19:00,5.256751223203793e-07,5.256751223203793e-07,190.5956,1.0,190.5956005256751
2018-01-01 15:20:00,5.136283431905753e-07,5.136283431905753e-07,190.124,1.0,190.12400051362835
2018-01-01 15:21:00,5.018576448856393e-07,5.018576448856393e-07,189.7009,1.0,189.70090050185763
2018-01-01 15:22:00,4.903566891423239e-07,4.903566891423239e-07,189.27779999999998,1.0,189.27780049035667
