,Uncontrolled,"First Come, First Served",Discrimintation Free,With Battery,Cost optimized,Uncontrolledtrafo_load,"First Come, First Servedtrafo_load",Discrimintation Freetrafo_load,With Batterytrafo_load,Cost optimizedtrafo_load,Preload,Energy_price_(Euro/MWh),CO2e(kg/kWh)
40,0.0,0.0,0.0,0.0,0.0,19.109,19.109,19.109,20.436309863549987,19.109,19.109,169.31459999999998,0.73
41,0.0,0.0,0.0,0.0,0.0,19.310100000000002,19.310100000000002,19.310100000000002,20.554320266091757,19.310100000000002,19.310100000000002,168.8646,0.73
42,0.0,0.0,0.0,0.0,0.0,19.511200000000002,19.511200000000002,19.511200000000002,20.677532077434414,19.511200000000002,19.511200000000002,168.41459999999998,0.73
43,0.0,0.0,0.0,0.0,0.0,19.712300000000003,19.712300000000003,19.712300000000003,20.805619689387022,19.712300000000003,19.712300000000003,167.9646,0.73
44,0.0,0.0,0.0,0.0,0.0,19.913400000000003,19.913400000000003,19.913400000000003,20.938277876831396,19.913400000000003,19.913400000000003,167.51459999999997,0.73
45,0.0,0.0,0.0,0.0,0.0,20.1145,20.1145,20.1145,21.07522052174175,20.1145,20.1145,167.06459999999998,0.73
46,0.0,0.0,0.0,0.0,0.0,20.3156,20.3156,20.3156,21.216179417080717,20.3156,20.3156,166.6146,0.73
47,0.0,0.0,0.0,0.0,0.0,20.5167,20.5167,20.5167,21.360903145571466,20.5167,20.5167,166.16459999999998,0.73
48,0.0,0.0,0.0,0.0,0.0,20.7178,20.7178,20.7178,21.509156028658694,20.7178,20.7178,165.7146,0.73
49,0.0,0.0,0.0,0.0,0.0,20.9189,20.9189,20.9189,21.660717141264662,20.9189,20.9189,165.26459999999997,0.73
50,0.0,0.0,0.0,0.0,0.0,21.12,21.12,21.12,21.81537938822149,21.12,21.12,164.81459999999998,0.73
51,0.0,0.0,0.0,0.0,0.0,20.9406,20.9406,20.9406,21.592448638518825,20.9406,20.9406,164.3646,0.73
52,0.0,0.0,0.0,0.0,0.0,20.761200000000002,20.761200000000002,20.761200000000002,21.37224291374755,20.761200000000002,20.761200000000002,163.91459999999998,0.73
53,0.0,0.0,0.0,0.0,0.0,20.5818,20.5818,20.5818,21.154591627346953,20.5818,20.5818,163.4646,0.73
54,0.0,0.0,0.0,0.0,0.0,20.4024,20.4024,20.4024,20.939334871475037,20.4024,20.4024,163.01459999999997,0.73
55,0.0,0.0,0.0,0.0,0.0,20.223,20.223,20.223,20.726322748520694,20.223,20.223,162.56459999999998,0.73
56,0.0,0.0,0.0,0.0,0.0,20.0436,20.0436,20.0436,20.515414744463307,20.0436,20.0436,162.1146,0.73
57,0.0,0.0,0.0,0.0,0.0,19.8642,19.8642,19.8642,20.306479141459903,19.8642,19.8642,161.66459999999998,0.73
58,0.0,0.0,0.0,0.0,0.0,19.6848,19.6848,19.6848,20.09939246720451,19.6848,19.6848,161.2146,0.73
59,0.0,0.0,0.0,0.0,0.0,19.5054,19.5054,19.5054,19.89403897875751,19.5054,19.5054,160.76459999999997,0.73
60,0.0,0.0,0.0,0.0,0.0,19.326,19.326,19.326,19.690310178687287,19.326,19.326,160.31459999999998,0.73
61,0.0,0.0,0.0,0.0,0.0,19.2378,19.2378,19.2378,19.57930436150146,19.2378,19.2378,160.1979333333333,0.73
62,0.0,0.0,0.0,0.0,0.0,19.1496,19.1496,19.1496,19.46972618847147,19.1496,19.1496,160.08126666666666,0.73
63,0.0,0.0,0.0,0.0,0.0,19.0614,19.0614,19.0614,19.361486289073156,19.0614,19.0614,159.9646,0.73
64,0.0,0.0,0.0,0.0,0.0,18.9732,18.9732,18.9732,19.254500887377176,18.9732,18.9732,159.84793333333332,0.73
65,0.0,0.0,0.0,0.0,0.0,18.884999999999998,18.884999999999998,18.884999999999998,19.148691451827364,18.884999999999998,18.884999999999998,159.73126666666664,0.73
66,0.0,0.0,0.0,0.0,0.0,18.7968,18.7968,18.7968,19.043984366942972,18.7968,18.7968,159.6146,0.73
67,0.0,0.0,0.0,0.0,0.0,18.7086,18.7086,18.7086,18.94031062557234,18.7086,18.7086,159.49793333333332,0.73
68,0.0,0.0,0.0,0.0,0.0,18.6204,18.6204,18.6204,18.83760554041151,18.6204,18.6204,159.38126666666665,0.73
69,0.0,0.0,0.0,0.0,0.0,18.5322,18.5322,18.5322,18.735808473581745,18.5322,18.5322,159.26459999999997,0.73
70,0.0,0.0,0.0,0.0,0.0,18.444,18.444,18.444,18.63486258313553,18.444,18.444,159.14793333333333,0.73
71,0.0,0.0,0.0,0.0,0.0,18.465799999999998,18.465799999999998,18.465799999999998,18.64471458543124,18.465799999999998,18.465799999999998,159.03126666666665,0.73
72,0.0,0.0,0.0,0.0,0.0,18.4876,18.4876,18.4876,18.65531453238325,18.4876,18.4876,158.91459999999998,0.73
73,0.0,0.0,0.0,0.0,0.0,18.5094,18.5094,18.5094,18.66661560265606,18.5094,18.5094,158.7979333333333,0.73
74,0.0,0.0,0.0,0.0,0.0,18.5312,18.5312,18.5312,18.678573905929788,18.5312,18.5312,158.68126666666666,0.73
75,0.0,0.0,0.0,0.0,0.0,18.552999999999997,18.552999999999997,18.552999999999997,18.69114829941858,18.552999999999997,18.552999999999997,158.56459999999998,0.73
76,0.0,0.0,0.0,0.0,0.0,18.5748,18.5748,18.5748,18.70430021587498,18.5748,18.5748,158.4479333333333,0.73
77,0.0,0.0,0.0,0.0,0.0,18.5966,18.5966,18.5966,18.717993502361203,18.5966,18.5966,158.33126666666666,0.73
78,0.0,0.0,0.0,0.0,0.0,18.618399999999998,18.618399999999998,18.618399999999998,18.732194269113393,18.618399999999998,18.618399999999998,158.2146,0.73
79,0.0,0.0,0.0,0.0,0.0,18.6402,18.6402,18.6402,18.746870747866897,18.6402,18.6402,158.09793333333332,0.73
80,0.0,0.0,0.0,0.0,0.0,18.662,18.662,18.662,18.761993159050427,18.662,18.662,157.98126666666664,0.73
81,0.0,0.0,0.0,0.0,0.0,18.499299999999998,18.499299999999998,18.499299999999998,18.593033587293867,18.499299999999998,18.499299999999998,157.8646,0.73
82,0.0,0.0,0.0,0.0,0.0,18.3366,18.3366,18.3366,18.424465864729275,18.3366,18.3366,157.74793333333332,0.73
83,0.0,0.0,0.0,0.0,0.0,18.1739,18.1739,18.1739,18.256265461597224,18.1739,18.1739,157.63126666666665,0.73
84,0.0,0.0,0.0,0.0,0.0,18.0112,18.0112,18.0112,18.088409383701237,18.0112,18.0112,157.51459999999997,0.73
85,0.0,0.0,0.0,0.0,0.0,17.8485,17.8485,17.8485,17.92087607628154,17.8485,17.8485,157.39793333333333,0.73
86,0.0,0.0,0.0,0.0,0.0,17.6858,17.6858,17.6858,17.753645333906316,17.6858,17.6858,157.28126666666665,0.73
87,0.0,0.0,0.0,0.0,0.0,17.5231,17.5231,17.5231,17.586698216003782,17.5231,17.5231,157.16459999999998,0.73
88,0.0,0.0,0.0,0.0,0.0,17.3604,17.3604,17.3604,17.420016967681946,17.3604,17.3604,157.0479333333333,0.73
89,0.0,0.0,0.0,0.0,0.0,17.1977,17.1977,17.1977,17.253584945505057,17.1977,17.1977,156.93126666666666,0.73
90,0.0,0.0,0.0,0.0,0.0,17.035,17.035,17.035,17.087386547916438,17.035,17.035,156.81459999999998,0.73
91,0.0,0.0,0.0,0.0,0.0,16.9903,16.9903,16.9903,17.03940715001687,16.9903,16.9903,156.6979333333333,0.73
92,0.0,0.0,0.0,0.0,0.0,16.9456,16.9456,16.9456,16.991633042425814,16.9456,16.9456,156.58126666666666,0.73
93,0.0,0.0,0.0,0.0,0.0,16.9009,16.9009,16.9009,16.944051373969963,16.9009,16.9009,156.4646,0.73
94,0.0,0.0,0.0,0.0,0.0,16.8562,16.8562,16.8562,16.89665009795944,16.8562,16.8562,156.34793333333332,0.73
95,0.0,0.0,0.0,0.0,0.0,16.811500000000002,16.811500000000002,16.811500000000002,16.84941792182718,16.811500000000002,16.811500000000002,156.23126666666664,0.73
96,0.0,0.0,0.0,0.0,0.0,16.7668,16.7668,16.7668,16.802344259920797,16.7668,16.7668,156.1146,0.73
97,0.0,0.0,0.0,0.0,0.0,16.7221,16.7221,16.7221,16.75541918924976,16.7221,16.7221,155.99793333333332,0.73
98,0.0,0.0,0.0,0.0,0.0,16.677400000000002,16.677400000000002,16.677400000000002,16.708633408002726,16.677400000000002,16.677400000000002,155.88126666666665,0.73
99,0.0,0.0,0.0,0.0,0.0,16.6327,16.6327,16.6327,16.661978196661753,16.6327,16.6327,155.76459999999997,0.73
100,0.0,0.0,0.0,0.0,0.0,16.588,16.588,16.588,16.615445381550728,16.588,16.588,155.64793333333333,0.73
101,0.0,0.0,0.0,0.0,0.0,16.5805,16.5805,16.5805,16.606227300665655,16.5805,16.5805,155.53126666666665,0.73
102,0.0,0.0,0.0,0.0,0.0,16.573,16.573,16.573,16.597116771643982,16.573,16.573,155.41459999999998,0.73
103,0.0,0.0,0.0,0.0,0.0,16.5655,16.5655,16.5655,16.588107061739066,16.5655,16.5655,155.2979333333333,0.73
104,0.0,0.0,0.0,0.0,0.0,16.558,16.558,16.558,16.579191859674204,16.558,16.558,155.18126666666666,0.73
105,0.0,0.0,0.0,0.0,0.0,16.5505,16.5505,16.5505,16.5703652492586,16.5505,16.5505,155.06459999999998,0.73
106,0.0,0.0,0.0,0.0,0.0,16.543000000000003,16.543000000000003,16.543000000000003,16.561621684655016,16.543000000000003,16.543000000000003,154.9479333333333,0.73
107,0.0,0.0,0.0,0.0,0.0,16.535500000000003,16.535500000000003,16.535500000000003,16.55295596719561,16.535500000000003,16.535500000000003,154.83126666666666,0.73
108,0.0,0.0,0.0,0.0,0.0,16.528000000000002,16.528000000000002,16.528000000000002,16.544363223649164,16.528000000000002,16.528000000000002,154.7146,0.73
109,0.0,0.0,0.0,0.0,0.0,16.520500000000002,16.520500000000002,16.520500000000002,16.535838885848726,16.520500000000002,16.520500000000002,154.59793333333332,0.73
110,0.0,0.0,0.0,0.0,0.0,16.513,16.513,16.513,16.527378671594597,16.513,16.513,154.48126666666664,0.73
111,0.0,0.0,0.0,0.0,0.0,16.5792,16.5792,16.5792,16.592678566752774,16.5792,16.5792,154.3646,0.73
112,0.0,0.0,0.0,0.0,0.0,16.645400000000002,16.645400000000002,16.645400000000002,16.658034808474053,16.645400000000002,16.645400000000002,154.24793333333332,0.73
113,0.0,0.0,0.0,0.0,0.0,16.7116,16.7116,16.7116,16.723443869463576,16.7116,16.7116,154.13126666666665,0.73
114,0.0,0.0,0.0,0.0,0.0,16.777800000000003,16.777800000000003,16.777800000000003,16.788902443235155,16.777800000000003,16.777800000000003,154.01459999999997,0.73
115,0.0,0.0,0.0,0.0,0.0,16.844,16.844,16.844,16.854407430288635,16.844,16.844,153.89793333333333,0.73
116,0.0,0.0,0.0,0.0,0.0,16.9102,16.9102,16.9102,16.919955925152564,16.9102,16.9102,153.78126666666665,0.73
117,0.0,0.0,0.0,0.0,0.0,16.9764,16.9764,16.9764,16.985545204238015,16.9764,16.9764,153.66459999999998,0.73
118,0.0,0.0,0.0,0.0,0.0,17.0426,17.0426,17.0426,17.051172714452715,17.0426,17.0426,153.5479333333333,0.73
119,0.0,0.0,0.0,0.0,0.0,17.108800000000002,17.108800000000002,17.108800000000002,17.11683606252798,17.108800000000002,17.108800000000002,153.43126666666666,0.73
120,0.0,0.0,0.0,0.0,0.0,17.175,17.175,17.175,17.182533005013727,17.175,17.175,153.31459999999998,0.73
121,0.0,0.0,0.0,0.0,0.0,17.1642,17.1642,17.1642,17.171261438899865,17.1642,17.1642,153.2979333333333,0.73
122,0.0,0.0,0.0,0.0,0.0,17.1534,17.1534,17.1534,17.160019392824733,17.1534,17.1534,153.28126666666665,0.73
123,0.0,0.0,0.0,0.0,0.0,17.1426,17.1426,17.1426,17.148805018833905,17.1426,17.1426,153.26459999999997,0.73
124,0.0,0.0,0.0,0.0,0.0,17.131800000000002,17.131800000000002,17.131800000000002,17.137616584654904,17.131800000000002,17.131800000000002,153.24793333333332,0.73
125,0.0,0.0,0.0,0.0,0.0,17.121000000000002,17.121000000000002,17.121000000000002,17.126452466455508,17.121000000000002,17.121000000000002,153.23126666666664,0.73
126,0.0,0.0,0.0,0.0,0.0,17.1102,17.1102,17.1102,17.11531114205539,17.1102,17.1102,153.2146,0.73
127,0.0,0.0,0.0,0.0,0.0,17.0994,17.0994,17.0994,17.104191184562723,17.0994,17.0994,153.1979333333333,0.73
128,0.0,0.0,0.0,0.0,0.0,17.0886,17.0886,17.0886,17.0930912564091,17.0886,17.0886,153.18126666666666,0.73
129,0.0,0.0,0.0,0.0,0.0,17.0778,17.0778,17.0778,17.082010103757888,17.0778,17.0778,153.16459999999998,0.73
130,0.0,0.0,0.0,0.0,0.0,17.067,17.067,17.067,17.070946551262644,17.067,17.067,153.14793333333333,0.73
131,0.0,0.0,0.0,0.0,0.0,17.073900000000002,17.073900000000002,17.073900000000002,17.077599497153606,17.073900000000002,17.073900000000002,153.13126666666665,0.73
132,0.0,0.0,0.0,0.0,0.0,17.0808,17.0808,17.0808,17.08426790863179,17.0808,17.0808,153.1146,0.73
133,0.0,0.0,0.0,0.0,0.0,17.087699999999998,17.087699999999998,17.087699999999998,17.09095081755144,17.087699999999998,17.087699999999998,153.09793333333332,0.73
134,0.0,0.0,0.0,0.0,0.0,17.0946,17.0946,17.0946,17.09764731637272,17.0946,17.0946,153.08126666666666,0.73
135,0.0,0.0,0.0,0.0,0.0,17.1015,17.1015,17.1015,17.10435655436779,17.1015,17.1015,153.06459999999998,0.73
136,0.0,0.0,0.0,0.0,0.0,17.1084,17.1084,17.1084,17.111077734064366,17.1084,17.1084,153.0479333333333,0.73
137,0.0,0.0,0.0,0.0,0.0,17.115299999999998,17.115299999999998,17.115299999999998,17.117810107911936,17.115299999999998,17.115299999999998,153.03126666666665,0.73
138,0.0,0.0,0.0,0.0,0.0,17.1222,17.1222,17.1222,17.12455297515665,17.1222,17.1222,153.01459999999997,0.73
139,0.0,0.0,0.0,0.0,0.0,17.1291,17.1291,17.1291,17.131305678911847,17.1291,17.1291,152.99793333333332,0.73
140,0.0,0.0,0.0,0.0,0.0,17.136,17.136,17.136,17.138067603411965,17.136,17.136,152.98126666666664,0.73
141,0.0,0.0,0.0,0.0,0.0,17.0989,17.0989,17.0989,17.100838171438376,17.0989,17.0989,152.9646,0.73
142,0.0,0.0,0.0,0.0,0.0,17.061799999999998,17.061799999999998,17.061799999999998,17.06361684190633,17.061799999999998,17.061799999999998,152.9479333333333,0.73
143,0.0,0.0,0.0,0.0,0.0,17.0247,17.0247,17.0247,17.026403107603,17.0247,17.0247,152.93126666666666,0.73
144,0.0,0.0,0.0,0.0,0.0,16.9876,16.9876,16.9876,16.989196493067052,16.9876,16.9876,152.91459999999998,0.73
145,0.0,0.0,0.0,0.0,0.0,16.950499999999998,16.950499999999998,16.950499999999998,16.951996552601056,16.950499999999998,16.950499999999998,152.89793333333333,0.73
146,0.0,0.0,0.0,0.0,0.0,16.9134,16.9134,16.9134,16.91480286840823,16.9134,16.9134,152.88126666666665,0.73
147,0.0,0.0,0.0,0.0,0.0,16.8763,16.8763,16.8763,16.877615048845875,16.8763,16.8763,152.8646,0.73
148,0.0,0.0,0.0,0.0,0.0,16.8392,16.8392,16.8392,16.840432726788126,16.8392,16.8392,152.84793333333332,0.73
149,0.0,0.0,0.0,0.0,0.0,16.8021,16.8021,16.8021,16.803255558091188,16.8021,16.8021,152.83126666666666,0.73
150,0.0,0.0,0.0,0.0,0.0,16.765,16.765,16.765,16.76608322015468,16.765,16.765,152.81459999999998,0.73
151,0.0,0.0,0.0,0.0,0.0,16.852,16.852,16.852,16.853015410572997,16.852,16.852,152.7979333333333,0.73
152,0.0,0.0,0.0,0.0,0.0,16.939,16.939,16.939,16.939951845871125,16.939,16.939,152.78126666666665,0.73
153,0.0,0.0,0.0,0.0,0.0,17.026,17.026,17.026,17.026892260319592,17.026,17.026,152.76459999999997,0.73
154,0.0,0.0,0.0,0.0,0.0,17.113,17.113,17.113,17.113836404823584,17.113,17.113,152.74793333333332,0.73
155,0.0,0.0,0.0,0.0,0.0,17.200000000000003,17.200000000000003,17.200000000000003,17.200784045881633,17.200000000000003,17.200000000000003,152.73126666666664,0.73
156,0.0,0.0,0.0,0.0,0.0,17.287000000000003,17.287000000000003,17.287000000000003,17.287734964609445,17.287000000000003,17.287000000000003,152.7146,0.73
157,0.0,0.0,0.0,0.0,0.0,17.374000000000002,17.374000000000002,17.374000000000002,17.374688955824897,17.374000000000002,17.374000000000002,152.6979333333333,0.73
158,0.0,0.0,0.0,0.0,0.0,17.461000000000002,17.461000000000002,17.461000000000002,17.461645827190257,17.461000000000002,17.461000000000002,152.68126666666666,0.73
159,0.0,0.0,0.0,0.0,0.0,17.548000000000002,17.548000000000002,17.548000000000002,17.54860539840815,17.548000000000002,17.548000000000002,152.66459999999998,0.73
160,0.0,0.0,0.0,0.0,0.0,17.635,17.635,17.635,17.6355675004678,17.635,17.635,152.64793333333333,0.73
161,0.0,0.0,0.0,0.0,0.0,17.595200000000002,17.595200000000002,17.595200000000002,17.595731974938516,17.595200000000002,17.595200000000002,152.63126666666665,0.73
162,0.0,0.0,0.0,0.0,0.0,17.555400000000002,17.555400000000002,17.555400000000002,17.555898673307368,17.555400000000002,17.555400000000002,152.6146,0.73
163,0.0,0.0,0.0,0.0,0.0,17.5156,17.5156,17.5156,17.516067456358325,17.5156,17.5156,152.59793333333332,0.73
164,0.0,0.0,0.0,0.0,0.0,17.4758,17.4758,17.4758,17.476238193590294,17.4758,17.4758,152.58126666666666,0.73
165,0.0,0.0,0.0,0.0,0.0,17.436,17.436,17.436,17.436410762671542,17.436,17.436,152.56459999999998,0.73
166,0.0,0.0,0.0,0.0,0.0,17.3962,17.3962,17.3962,17.396585048928305,17.3962,17.3962,152.5479333333333,0.73
167,0.0,0.0,0.0,0.0,0.0,17.3564,17.3564,17.3564,17.356760944865393,17.3564,17.3564,152.53126666666665,0.73
168,0.0,0.0,0.0,0.0,0.0,17.316599999999998,17.316599999999998,17.316599999999998,17.316938349716814,17.316599999999998,17.316599999999998,152.51459999999997,0.73
169,0.0,0.0,0.0,0.0,0.0,17.276799999999998,17.276799999999998,17.276799999999998,17.277117169024542,17.276799999999998,17.276799999999998,152.49793333333332,0.73
170,0.0,0.0,0.0,0.0,0.0,17.237,17.237,17.237,17.237297314243605,17.237,17.237,152.48126666666664,0.73
171,0.0,0.0,0.0,0.0,0.0,17.235699999999998,17.235699999999998,17.235699999999998,17.235978702371956,17.235699999999998,17.235699999999998,152.4646,0.73
172,0.0,0.0,0.0,0.0,0.0,17.234399999999997,17.234399999999997,17.234399999999997,17.23466125560347,17.234399999999997,17.234399999999997,152.4479333333333,0.73
173,0.0,0.0,0.0,0.0,0.0,17.2331,17.2331,17.2331,17.233344901002695,17.2331,17.2331,152.43126666666666,0.73
174,0.0,0.0,0.0,0.0,0.0,17.2318,17.2318,17.2318,17.232029570199927,17.2318,17.2318,152.41459999999998,0.73
175,0.0,0.0,0.0,0.0,0.0,17.2305,17.2305,17.2305,17.23071519910541,17.2305,17.2305,152.39793333333333,0.73
176,0.0,0.0,0.0,0.0,0.0,17.2292,17.2292,17.2292,17.229401727641413,17.2292,17.2292,152.38126666666665,0.73
177,0.0,0.0,0.0,0.0,0.0,17.227899999999998,17.227899999999998,17.227899999999998,17.22808909949106,17.227899999999998,17.227899999999998,152.3646,0.73
178,0.0,0.0,0.0,0.0,0.0,17.2266,17.2266,17.2266,17.22677726186292,17.2266,17.2266,152.34793333333332,0.73
179,0.0,0.0,0.0,0.0,0.0,17.2253,17.2253,17.2253,17.225466165270305,17.2253,17.2253,152.33126666666666,0.73
180,0.0,0.0,0.0,0.0,0.0,17.224,17.224,17.224,17.224155763324383,17.224,17.224,152.31459999999998,0.73
181,0.0,0.0,0.0,0.0,0.0,17.165,17.165,17.165,17.165146012540273,17.165,17.165,152.26459999999997,0.7328333333333333
182,0.0,0.0,0.0,0.0,0.0,17.106,17.106,17.106,17.106136872155254,17.106,17.106,152.2146,0.7356666666666667
183,0.0,0.0,0.0,0.0,0.0,17.047,17.047,17.047,17.047128303958335,17.047,17.047,152.16459999999998,0.7384999999999999
184,0.0,0.0,0.0,0.0,0.0,16.988,16.988,16.988,16.98812027213054,16.988,16.988,152.1146,0.7413333333333333
185,0.0,0.0,0.0,0.0,0.0,16.929000000000002,16.929000000000002,16.929000000000002,16.92911274309517,16.929000000000002,16.929000000000002,152.06459999999998,0.7441666666666666
186,0.0,0.0,0.0,0.0,0.0,16.87,16.87,16.87,16.870105685377414,16.87,16.87,152.01459999999997,0.747
187,0.0,0.0,0.0,0.0,0.0,16.811,16.811,16.811,16.811099069472785,16.811,16.811,151.9646,0.7498333333333334
188,0.0,0.0,0.0,0.0,0.0,16.752,16.752,16.752,16.75209286772379,16.752,16.752,151.91459999999998,0.7526666666666667
