Time,"LP_latitude, longitude805",lp_total_load_kW,trafo_preload_kW,lp_occupancy,storage_lp,storage_soc,trafo_loading_kW
2018-01-02 22:51:00,7.054253584048986e-06,7.054253584048986e-06,91.0723,1.0,8.326672684688674e-13,0.9999999999999978,91.07230705425442
2018-01-02 22:52:00,6.6868438447498235e-06,6.6868438447498235e-06,90.7846,1.0,8.326672684688674e-13,0.9999999999999978,90.78460668684468
2018-01-02 22:53:00,6.338570054942316e-06,6.338570054942316e-06,90.4969,1.0,8.326672684688674e-13,0.9999999999999978,90.4969063385709
2018-01-02 22:54:00,6.0084355685274815e-06,6.0084355685274815e-06,90.2092,1.0,8.326672684688674e-13,0.9999999999999978,90.2092060084364
2018-01-02 22:55:00,5.695495617907831e-06,5.695495617907831e-06,89.92150000000001,1.0,8.326672684688674e-13,0.9999999999999978,89.92150569549646
2018-01-02 22:56:00,5.398854651672558e-06,5.398854651672558e-06,89.63380000000001,1.0,8.326672684688674e-13,0.9999999999999978,89.6338053988555
2018-01-02 22:57:00,5.117663757769897e-06,5.117663757769897e-06,89.3461,1.0,8.326672684688674e-13,0.9999999999999978,89.3461051176646
2018-01-02 22:58:00,4.851118263760057e-06,4.851118263760057e-06,89.0584,1.0,8.326672684688674e-13,0.9999999999999978,89.0584048511191
2018-01-02 22:59:00,4.598455361493059e-06,4.598455361493059e-06,88.7707,1.0,8.326672684688674e-13,0.9999999999999978,88.7707045984562
2018-01-02 23:00:00,4.3589520187792274e-06,4.3589520187792274e-06,88.483,1.0,8.326672684688674e-13,0.9999999999999978,88.48300435895285
2018-01-02 23:01:00,4.131922823891188e-06,4.131922823891188e-06,88.71520000000001,1.0,8.326672684688674e-13,0.9999999999999978,88.71520413192367
2018-01-02 23:02:00,3.916718104846062e-06,3.916718104846062e-06,88.9474,1.0,8.326672684688674e-13,0.9999999999999978,88.94740391671894
2018-01-02 23:03:00,3.7127219876254003e-06,3.7127219876254003e-06,89.17960000000001,1.0,8.326672684688674e-13,0.9999999999999978,89.17960371272284
2018-01-02 23:04:00,3.519350680325495e-06,3.519350680325495e-06,89.4118,1.0,8.326672684688674e-13,0.9999999999999978,89.41180351935152
2018-01-02 23:05:00,3.3360508122637356e-06,3.3360508122637356e-06,89.644,1.0,8.326672684688674e-13,0.9999999999999978,89.64400333605165
2018-01-02 23:06:00,3.162297834147232e-06,3.162297834147232e-06,89.87620000000001,1.0,8.326672684688674e-13,0.9999999999999978,89.87620316229868
2018-01-02 23:07:00,2.9975945037286067e-06,2.9975945037286067e-06,90.1084,1.0,8.326672684688674e-13,0.9999999999999978,90.10840299759535
2018-01-02 23:08:00,2.841469493586324e-06,2.841469493586324e-06,90.34060000000001,1.0,8.326672684688674e-13,0.9999999999999978,90.34060284147034
2018-01-02 23:09:00,2.693475998905015e-06,2.693475998905015e-06,90.5728,1.0,8.326672684688674e-13,0.9999999999999978,90.57280269347685
2018-01-02 23:10:00,2.553190528442606e-06,2.553190528442606e-06,90.805,1.0,8.326672684688674e-13,0.9999999999999978,90.80500255319137
2018-01-02 23:11:00,2.4202115977978167e-06,2.4202115977978167e-06,90.5343,1.0,8.326672684688674e-13,0.9999999999999978,90.53430242021244
2018-01-02 23:12:00,2.2941586608205e-06,2.2941586608205e-06,90.26360000000001,1.0,8.326672684688674e-13,0.9999999999999978,90.26360229415951
2018-01-02 23:13:00,2.174670998278394e-06,2.174670998278394e-06,89.9929,1.0,8.326672684688674e-13,0.9999999999999978,89.99290217467184
2018-01-02 23:14:00,2.061406667586141e-06,2.061406667586141e-06,89.7222,1.0,8.326672684688674e-13,0.9999999999999978,89.7222020614075
2018-01-02 23:15:00,1.954041525809025e-06,1.954041525809025e-06,89.45150000000001,1.0,8.326672684688674e-13,0.9999999999999978,89.45150195404237
2018-01-02 23:16:00,1.8522683259414308e-06,1.8522683259414308e-06,89.1808,1.0,8.326672684688674e-13,0.9999999999999978,89.18080185226917
2018-01-02 23:17:00,1.7557958315039812e-06,1.7557958315039812e-06,88.9101,1.0,8.326672684688674e-13,0.9999999999999978,88.91010175579667
2018-01-02 23:18:00,1.664347949459355e-06,1.664347949459355e-06,88.6394,1.0,8.326672684688674e-13,0.9999999999999978,88.63940166434878
2018-01-02 23:19:00,1.5776629913588636e-06,1.5776629913588636e-06,88.3687,1.0,8.326672684688674e-13,0.9999999999999978,88.36870157766383
2018-01-02 23:20:00,1.4954928856392158e-06,1.4954928856392158e-06,88.098,1.0,8.326672684688674e-13,0.9999999999999978,88.09800149549372
2018-01-02 23:21:00,1.4176024937251341e-06,1.4176024937251341e-06,88.0772,1.0,8.326672684688674e-13,0.9999999999999978,88.07720141760333
2018-01-02 23:22:00,1.3437688833883854e-06,1.3437688833883854e-06,88.0564,1.0,8.326672684688674e-13,0.9999999999999978,88.05640134376972
2018-01-02 23:23:00,1.2737807913998367e-06,1.2737807913998367e-06,88.0356,1.0,8.326672684688674e-13,0.9999999999999978,88.03560127378164
2018-01-02 23:24:00,1.2074379029947124e-06,1.2074379029947124e-06,88.0148,1.0,8.326672684688674e-13,0.9999999999999978,88.01480120743874
