Time,"LP_latitude, longitude448",lp_total_load_kW,trafo_preload_kW,lp_occupancy,trafo_loading_kW
2018-01-07 03:08:00,11.0,11.0,80.57979999999999,1.0,91.57979999999999
2018-01-07 03:09:00,11.0,11.0,80.8609,1.0,91.8609
2018-01-07 03:10:00,11.0,11.0,81.142,1.0,92.142
2018-01-07 03:11:00,11.0,11.0,81.3081,1.0,92.3081
2018-01-07 03:12:00,11.0,11.0,81.4742,1.0,92.4742
2018-01-07 03:13:00,11.0,11.0,81.6403,1.0,92.6403
2018-01-07 03:14:00,11.0,11.0,81.8064,1.0,92.8064
2018-01-07 03:15:00,11.0,11.0,81.9725,1.0,92.9725
2018-01-07 03:16:00,10.798408938969322,10.798408938969322,82.1386,1.0,92.93700893896931
2018-01-07 03:17:00,10.556980016997002,10.556980016997002,82.3047,1.0,92.861680016997
2018-01-07 03:18:00,10.320948920268584,10.320948920268584,82.4708,1.0,92.79174892026859
2018-01-07 03:19:00,10.090194965159558,10.090194965159558,82.6369,1.0,92.72709496515955
2018-01-07 03:20:00,9.864600166268607,9.864600166268607,82.803,1.0,92.6676001662686
2018-01-07 03:21:00,9.644049176091203,9.644049176091203,82.4648,1.0,92.1088491760912
2018-01-07 03:22:00,9.42842922604197,9.42842922604197,82.1266,1.0,91.55502922604197
2018-01-07 03:23:00,9.21763006879567,9.21763006879567,81.7884,1.0,91.00603006879567
2018-01-07 03:24:00,9.01154392191731,9.01154392191731,81.4502,1.0,90.4617439219173
2018-01-07 03:25:00,8.810065412752573,8.810065412752573,81.112,1.0,89.92206541275257
2018-01-07 03:26:00,8.613091524550347,8.613091524550347,80.77380000000001,1.0,89.38689152455035
2018-01-07 03:27:00,8.420521543789869,8.420521543789869,80.43560000000001,1.0,88.85612154378988
2018-01-07 03:28:00,8.232257008685513,8.232257008685513,80.09740000000001,1.0,88.32965700868552
2018-01-07 03:29:00,8.048201658842862,8.048201658842862,79.7592,1.0,87.80740165884286
2018-01-07 03:30:00,7.868261386040439,7.868261386040439,79.421,1.0,87.28926138604045
2018-01-07 03:31:00,7.692344186111773,7.692344186111773,79.29490000000001,1.0,86.98724418611178
2018-01-07 03:32:00,7.520360111903313,7.520360111903313,79.1688,1.0,86.68916011190332
2018-01-07 03:33:00,7.352221227284092,7.352221227284092,79.0427,1.0,86.39492122728409
2018-01-07 03:34:00,7.1878415621836655,7.1878415621836655,78.9166,1.0,86.10444156218367
2018-01-07 03:35:00,7.027137068635247,7.027137068635247,78.79050000000001,1.0,85.81763706863525
2018-01-07 03:36:00,6.8700255778016475,6.8700255778016475,78.6644,1.0,85.53442557780164
2018-01-07 03:37:00,6.716426757962065,6.716426757962065,78.53829999999999,1.0,85.25472675796206
2018-01-07 03:38:00,6.566262073438124,6.566262073438124,78.4122,1.0,84.97846207343812
2018-01-07 03:39:00,6.419454744438301,6.419454744438301,78.2861,1.0,84.7055547444383
2018-01-07 03:40:00,6.275929707800096,6.275929707800096,78.16,1.0,84.4359297078001
2018-01-07 03:41:00,6.135613578609965,6.135613578609965,77.9307,1.0,84.06631357860996
2018-01-07 03:42:00,5.998434612681315,5.998434612681315,77.70139999999999,1.0,83.69983461268131
2018-01-07 03:43:00,5.864322669871406,5.864322669871406,77.4721,1.0,83.33642266987141
2018-01-07 03:44:00,5.73320917821844,5.73320917821844,77.2428,1.0,82.97600917821845
2018-01-07 03:45:00,5.60502709888044,5.60502709888044,77.0135,1.0,82.61852709888043
2018-01-07 03:46:00,5.479710891858043,5.479710891858043,76.7842,1.0,82.26391089185805
2018-01-07 03:47:00,5.357196482483624,5.357196482483624,76.5549,1.0,81.91209648248363
2018-01-07 03:48:00,5.237421228659673,5.237421228659673,76.32560000000001,1.0,81.56302122865968
2018-01-07 03:49:00,5.120323888829634,5.120323888829634,76.0963,1.0,81.21662388882963
2018-01-07 03:50:00,5.0058445906648785,5.0058445906648785,75.867,1.0,80.87284459066488
2018-01-07 03:51:00,4.893924800451726,4.893924800451726,76.08420000000001,1.0,80.97812480045174
2018-01-07 03:52:00,4.784507293162969,4.784507293162969,76.3014,1.0,81.08590729316298
2018-01-07 03:53:00,4.677536123198438,4.677536123198438,76.5186,1.0,81.19613612319844
2018-01-07 03:54:00,4.572956595779822,4.572956595779822,76.7358,1.0,81.30875659577983
2018-01-07 03:55:00,4.470715238985024,4.470715238985024,76.953,1.0,81.42371523898503
2018-01-07 03:56:00,4.3707597764077395,4.3707597764077395,77.17020000000001,1.0,81.54095977640775
2018-01-07 03:57:00,4.273039100428331,4.273039100428331,77.3874,1.0,81.66043910042833
2018-01-07 03:58:00,4.177503246082325,4.177503246082325,77.6046,1.0,81.78210324608233
