Time,LP_ST_991,LP_ST_638,LP_total_load_kW,trafo_Preload_kW,LP_occupancy,trafoLoading_kW
2018-01-02 03:29:00,0.0,0.0,0.0,19.1897,0.0,19.1897
2018-01-02 03:30:00,0.0,0.0,0.0,19.281,0.0,19.281
2018-01-02 03:31:00,0.0,0.0,0.0,19.2377,0.0,19.2377
2018-01-02 03:32:00,0.0,0.0,0.0,19.194399999999998,0.0,19.194399999999998
2018-01-02 03:33:00,0.0,0.0,0.0,19.1511,0.0,19.1511
2018-01-02 03:34:00,0.0,0.0,0.0,19.107799999999997,0.0,19.107799999999997
2018-01-02 03:35:00,0.0,0.0,0.0,19.0645,0.0,19.0645
2018-01-02 03:36:00,0.0,0.0,0.0,19.0212,0.0,19.0212
2018-01-02 03:37:00,0.0,0.0,0.0,18.977899999999998,0.0,18.977899999999998
2018-01-02 03:38:00,0.0,0.0,0.0,18.9346,0.0,18.9346
2018-01-02 03:39:00,0.0,0.0,0.0,18.891299999999998,0.0,18.891299999999998
2018-01-02 03:40:00,0.0,0.0,0.0,18.848,0.0,18.848
2018-01-02 03:41:00,0.0,0.0,0.0,18.9985,0.0,18.9985
2018-01-02 03:42:00,0.0,0.0,0.0,19.149,0.0,19.149
2018-01-02 03:43:00,0.0,0.0,0.0,19.2995,0.0,19.2995
2018-01-02 03:44:00,0.0,0.0,0.0,19.45,0.0,19.45
2018-01-02 03:45:00,0.0,0.0,0.0,19.6005,0.0,19.6005
2018-01-02 03:46:00,0.0,0.0,0.0,19.751,0.0,19.751
2018-01-02 03:47:00,0.0,0.0,0.0,19.901500000000002,0.0,19.901500000000002
2018-01-02 03:48:00,0.0,0.0,0.0,20.052,0.0,20.052
2018-01-02 03:49:00,0.0,0.0,0.0,20.2025,0.0,20.2025
2018-01-02 03:50:00,0.0,0.0,0.0,20.353,0.0,20.353
2018-01-02 03:51:00,0.0,0.0,0.0,20.2799,0.0,20.2799
2018-01-02 03:52:00,0.0,0.0,0.0,20.2068,0.0,20.2068
2018-01-02 03:53:00,0.0,0.0,0.0,20.1337,0.0,20.1337
2018-01-02 03:54:00,0.0,0.0,0.0,20.0606,0.0,20.0606
2018-01-02 03:55:00,0.0,0.0,0.0,19.9875,0.0,19.9875
2018-01-02 03:56:00,0.0,0.0,0.0,19.9144,0.0,19.9144
2018-01-02 03:57:00,0.0,0.0,0.0,19.8413,0.0,19.8413
2018-01-02 03:58:00,0.0,0.0,0.0,19.7682,0.0,19.7682
2018-01-02 03:59:00,0.0,0.0,0.0,19.6951,0.0,19.6951
2018-01-02 04:00:00,0.0,0.0,0.0,19.622,0.0,19.622
2018-01-02 04:01:00,0.0,0.0,0.0,19.5865,0.0,19.5865
2018-01-02 04:02:00,0.0,0.0,0.0,19.551,0.0,19.551
2018-01-02 04:03:00,0.0,0.0,0.0,19.5155,0.0,19.5155
2018-01-02 04:04:00,0.0,0.0,0.0,19.48,0.0,19.48
2018-01-02 04:05:00,0.0,0.0,0.0,19.444499999999998,0.0,19.444499999999998
2018-01-02 04:06:00,0.0,0.0,0.0,19.409,0.0,19.409
2018-01-02 04:07:00,0.0,0.0,0.0,19.3735,0.0,19.3735
2018-01-02 04:08:00,0.0,0.0,0.0,19.338,0.0,19.338
2018-01-02 04:09:00,0.0,0.0,0.0,19.3025,0.0,19.3025
2018-01-02 04:10:00,0.0,0.0,0.0,19.267,0.0,19.267
2018-01-02 04:11:00,0.0,0.0,0.0,19.2071,0.0,19.2071
2018-01-02 04:12:00,0.0,0.0,0.0,19.147199999999998,0.0,19.147199999999998
2018-01-02 04:13:00,0.0,0.0,0.0,19.0873,0.0,19.0873
2018-01-02 04:14:00,0.0,0.0,0.0,19.0274,0.0,19.0274
2018-01-02 04:15:00,0.0,0.0,0.0,18.9675,0.0,18.9675
2018-01-02 04:16:00,0.0,0.0,0.0,18.9076,0.0,18.9076
2018-01-02 04:17:00,0.0,0.0,0.0,18.8477,0.0,18.8477
2018-01-02 04:18:00,0.0,0.0,0.0,18.7878,0.0,18.7878
2018-01-02 04:19:00,0.0,0.0,0.0,18.727899999999998,0.0,18.727899999999998
2018-01-02 04:20:00,0.0,0.0,0.0,18.668,0.0,18.668
2018-01-02 04:21:00,0.0,0.0,0.0,18.4655,0.0,18.4655
2018-01-02 04:22:00,0.0,0.0,0.0,18.262999999999998,0.0,18.262999999999998
2018-01-02 04:23:00,0.0,0.0,0.0,18.0605,0.0,18.0605
2018-01-02 04:24:00,0.0,0.0,0.0,17.858,0.0,17.858
2018-01-02 04:25:00,0.0,0.0,0.0,17.6555,0.0,17.6555
2018-01-02 04:26:00,0.0,0.0,0.0,17.453,0.0,17.453
