,0
Angek. Fzg._OPT,150.0
Gelad. Fzg._OPT,138.0
Gelad. Energie (MWh)_OPT,0.1
F1_Fzg.- Auslastung (%)_OPT,92.0
F2_Energ. Auslastung(%)_OPT,7.64
F3_Zeitl. Auslastung (%)_OPT,40.46
Max. Gleichzeitigkeitsfaktor_OPT,1.0
Trafo Spitzenlast (%)_OPT,12.69
Total charging costs in Euro_OPT,187.47
Total CO2 emissions in kge_OPT,3349.11
