,0
Angek. Fzg._OPT,150.0
Gelad. Fzg._OPT,124.0
Gelad. Energie (MWh)_OPT,0.08
F1_Fzg.- Auslastung (%)_OPT,82.67
F2_Energ. Auslastung(%)_OPT,6.67
F3_Zeitl. Auslastung (%)_OPT,36.5
Max. Gleichzeitigkeitsfaktor_OPT,1.0
Trafo Spitzenlast (%)_OPT,12.25
Total charging costs in Euro_OPT,0.748687
Total CO2 emissions in kge_OPT,3336.41
Energy price per kWhOPT,0.009032911637
