,0
Angek. Fzg._OPT,225.0
Gelad. Fzg._OPT,225.0
Gelad. Energie (MWh)_OPT,1.2169
F1_Fzg.- Auslastung (%)_OPT,100.0
F2_Energ. Auslastung(%)_OPT,144.86
F3_Zeitl. Auslastung (%)_OPT,12.38
Max. Gleichzeitigkeitsfaktor_OPT,1250.0
Trafo Spitzenlast (%)_OPT,50.62
Total charging costs in Euro_OPT,9.48191
Total CO2 emissions in kge_OPT,777.22
Energy price per kWh_OPT,0.008
