,0
Angek. Fzg._OPT,550.0
Gelad. Fzg._OPT,518.0
Gelad. Energie (MWh)_OPT,0.7712
F1_Fzg.- Auslastung (%)_OPT,94.18
F2_Energ. Auslastung(%)_OPT,417.3
F3_Zeitl. Auslastung (%)_OPT,30.64
Max. Gleichzeitigkeitsfaktor_OPT,108.91
Trafo Spitzenlast (%)_OPT,27.29
Total charging costs in Euro_OPT,11.91645
Total CO2 emissions in kge_OPT,458.46
Energy price per kWh_OPT,0.015
