,0
Angek. Fzg._OPT,550.0
Gelad. Fzg._OPT,518.0
Gelad. Energie (MWh)_OPT,1.1809
F1_Fzg.- Auslastung (%)_OPT,94.18
F2_Energ. Auslastung(%)_OPT,639.01
F3_Zeitl. Auslastung (%)_OPT,30.64
Max. Gleichzeitigkeitsfaktor_OPT,121.01
Trafo Spitzenlast (%)_OPT,28.53
Total charging costs in Euro_OPT,5.43516
Total CO2 emissions in kge_OPT,724.86
Energy price per kWh_OPT,0.005
