Time,LP_ST_799,LP_ST_843,LP_ST_453,LP_ST_912,LP_ST_692,LP_total_load_kW,trafo_Preload_kW,LP_occupancy,trafoLoading_kW
2018-01-03 05:46:00,0.0,0.0,0.0,0.0,0.0,0.0,32.3882,0.0,32.3882
2018-01-03 05:47:00,0.0,0.0,0.0,0.0,0.0,0.0,32.0304,0.0,32.0304
2018-01-03 05:48:00,0.0,0.0,0.0,0.0,0.0,0.0,31.6726,0.0,31.6726
2018-01-03 05:49:00,0.0,0.0,0.0,0.0,0.0,0.0,31.3148,0.0,31.3148
2018-01-03 05:50:00,0.0,0.0,0.0,0.0,0.0,0.0,30.957,0.0,30.957
2018-01-03 05:51:00,0.0,0.0,0.0,0.0,0.0,0.0,30.814700000000002,0.0,30.814700000000002
2018-01-03 05:52:00,0.0,0.0,0.0,0.0,0.0,0.0,30.6724,0.0,30.6724
2018-01-03 05:53:00,0.0,0.0,0.0,0.0,0.0,0.0,30.5301,0.0,30.5301
2018-01-03 05:54:00,0.0,0.0,0.0,0.0,0.0,0.0,30.3878,0.0,30.3878
2018-01-03 05:55:00,0.0,0.0,0.0,0.0,0.0,0.0,30.2455,0.0,30.2455
2018-01-03 05:56:00,0.0,0.0,0.0,0.0,0.0,0.0,30.1032,0.0,30.1032
2018-01-03 05:57:00,0.0,0.0,0.0,0.0,0.0,0.0,29.9609,0.0,29.9609
2018-01-03 05:58:00,0.0,0.0,0.0,0.0,0.0,0.0,29.8186,0.0,29.8186
2018-01-03 05:59:00,0.0,0.0,0.0,0.0,0.0,0.0,29.676299999999998,0.0,29.676299999999998
2018-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,29.534,0.0,29.534
2018-01-03 06:01:00,0.0,0.0,0.0,0.0,0.0,0.0,29.261899999999997,0.0,29.261899999999997
2018-01-03 06:02:00,0.0,0.0,0.0,0.0,0.0,0.0,28.9898,0.0,28.9898
2018-01-03 06:03:00,0.0,0.0,0.0,0.0,0.0,0.0,28.7177,0.0,28.7177
2018-01-03 06:04:00,0.0,0.0,0.0,0.0,0.0,0.0,28.4456,0.0,28.4456
2018-01-03 06:05:00,0.0,0.0,0.0,0.0,0.0,0.0,28.173499999999997,0.0,28.173499999999997
2018-01-03 06:06:00,0.0,0.0,0.0,0.0,0.0,0.0,27.9014,0.0,27.9014
2018-01-03 06:07:00,0.0,0.0,0.0,0.0,0.0,0.0,27.6293,0.0,27.6293
2018-01-03 06:08:00,0.0,0.0,0.0,0.0,0.0,0.0,27.3572,0.0,27.3572
2018-01-03 06:09:00,0.0,0.0,0.0,0.0,0.0,0.0,27.085099999999997,0.0,27.085099999999997
2018-01-03 06:10:00,0.0,0.0,0.0,0.0,0.0,0.0,26.813,0.0,26.813
2018-01-03 06:11:00,0.0,0.0,0.0,0.0,0.0,0.0,26.9575,0.0,26.9575
2018-01-03 06:12:00,0.0,0.0,0.0,0.0,0.0,0.0,27.102,0.0,27.102
2018-01-03 06:13:00,0.0,0.0,0.0,0.0,0.0,0.0,27.246499999999997,0.0,27.246499999999997
2018-01-03 06:14:00,0.0,0.0,0.0,0.0,0.0,0.0,27.391,0.0,27.391
2018-01-03 06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,27.5355,0.0,27.5355
2018-01-03 06:16:00,0.0,0.0,0.0,0.0,0.0,0.0,27.68,0.0,27.68
2018-01-03 06:17:00,0.0,0.0,0.0,0.0,0.0,0.0,27.8245,0.0,27.8245
2018-01-03 06:18:00,0.0,0.0,0.0,0.0,0.0,0.0,27.968999999999998,0.0,27.968999999999998
2018-01-03 06:19:00,0.0,0.0,0.0,0.0,0.0,0.0,28.1135,0.0,28.1135
2018-01-03 06:20:00,0.0,0.0,0.0,0.0,0.0,0.0,28.258,0.0,28.258
2018-01-03 06:21:00,0.0,0.0,0.0,0.0,0.0,0.0,28.6088,0.0,28.6088
2018-01-03 06:22:00,0.0,0.0,0.0,0.0,0.0,0.0,28.9596,0.0,28.9596
