,0
Angek. Fzg._OPT,150.0
Gelad. Fzg._OPT,125.0
Gelad. Energie (MWh)_OPT,0.1215
F1_Fzg.- Auslastung (%)_OPT,83.33
F2_Energ. Auslastung(%)_OPT,39.08
F3_Zeitl. Auslastung (%)_OPT,36.65
Max. Gleichzeitigkeitsfaktor_OPT,13.68
Trafo Spitzenlast (%)_OPT,12.67
Total charging costs in Euro_OPT,3.96995
Total CO2 emissions in kge_OPT,70.18
Energy price per kWh_OPT,0.033
