,0
Angek. Fzg._OPT,550.0
Gelad. Fzg._OPT,539.0
Gelad. Energie (MWh)_OPT,2.5026
F1_Fzg.- Auslastung (%)_OPT,98.0
F2_Energ. Auslastung(%)_OPT,677.1
F3_Zeitl. Auslastung (%)_OPT,31.69
Max. Gleichzeitigkeitsfaktor_OPT,483.52
Trafo Spitzenlast (%)_OPT,46.5
Total charging costs in Euro_OPT,10.70075
Total CO2 emissions in kge_OPT,1607.52
Energy price per kWh_OPT,0.004
