,0
Angek. Fzg._OPT,225.0
Gelad. Fzg._OPT,224.0
Gelad. Energie (MWh)_OPT,1.344
F1_Fzg.- Auslastung (%)_OPT,99.56
F2_Energ. Auslastung(%)_OPT,160.0
F3_Zeitl. Auslastung (%)_OPT,12.01
Max. Gleichzeitigkeitsfaktor_OPT,1500.0
Trafo Spitzenlast (%)_OPT,51.89
Total charging costs in Euro_OPT,22.78402
Total CO2 emissions in kge_OPT,781.82
Energy price per kWh_OPT,0.017
