,0
Angek. Fzg._UC,5000.0
Gelad. Fzg._UC,38.0
Gelad. Energie (MWh)_UC,0.5326
Unbed. Fzg._UC,4962.0
F1 Fzg.- Auslastung (%)_UC,0.76
F2 Energ. Auslastung(%)_UC,30.07
F3 Zeitl. Auslastung (%)_UC,99.27
Max. Gleichzeitigkeitsfaktor_UC,1.0
Trafo Spitzenlast (%)_UC,61.67
CO2_Emissionen (kge)_UC,338.73
Energiekosten (Euro)_UC,128.29
Kosten (Cent per kWh)_UC,24.09
Zufriedenheit (%)_UC,84.21
