,0
Angek. Fzg._OPT,5000.0
Gelad. Fzg._OPT,37.0
Gelad. Energie (MWh)_OPT,0.1757
Unbed. Fzg._OPT,4963.0
F1 Fzg.- Auslastung (%)_OPT,0.74
F2 Energ. Auslastung(%)_OPT,9.92
F3 Zeitl. Auslastung (%)_OPT,99.15
Max. Gleichzeitigkeitsfaktor_OPT,1.0
Trafo Spitzenlast (%)_OPT,61.67
CO2_Emissionen (kge)_OPT,135.16
Energiekosten (Euro)_OPT,37.98
Kosten (Cent per kWh)_OPT,21.62
Zufriedenheit (%)_OPT,24.32
