,0
Angek. Fzg._DF,12.0
Gelad. Fzg._DF,9.0
Gelad. Energie (MWh)_DF,0.1729
Unbed. Fzg._DF,3.0
F1 Fzg.- Auslastung (%)_DF,75.0
F2 Energ. Auslastung(%)_DF,16.04
F3 Zeitl. Auslastung (%)_DF,31.65
Max. Gleichzeitigkeitsfaktor_DF,1.0
Trafo Spitzenlast (%)_DF,61.67
CO2_Emissionen (kge)_DF,101.28
Energiekosten (Euro)_DF,43.72
Kosten (Cent per kWh)_DF,25.29
Zufriedenheit (%)_DF,77.78
