,0
Angek. Fzg._WS,5000.0
Gelad. Fzg._WS,844.0
Gelad. Energie (MWh)_WS,12.0177
Unbed. Fzg._WS,4156.0
F1 Fzg.- Auslastung (%)_WS,16.88
F2 Energ. Auslastung(%)_WS,21.68
F3 Zeitl. Auslastung (%)_WS,87.52
Max. Gleichzeitigkeitsfaktor_WS,0.54
Trafo Spitzenlast (%)_WS,54.25
CO2_Emissionen (kge)_WS,7718.38
Energiekosten (Euro)_WS,2834.06
Kosten (Cent per kWh)_WS,23.58
Zufriedenheit (%)_WS,93.36
