,0
Angek. Fzg._FCFS,12.0
Gelad. Fzg._FCFS,9.0
Gelad. Energie (MWh)_FCFS,0.1729
Unbed. Fzg._FCFS,3.0
F1 Fzg.- Auslastung (%)_FCFS,75.0
F2 Energ. Auslastung(%)_FCFS,16.04
F3 Zeitl. Auslastung (%)_FCFS,31.65
Max. Gleichzeitigkeitsfaktor_FCFS,1.0
Trafo Spitzenlast (%)_FCFS,61.67
CO2_Emissionen (kge)_FCFS,101.28
Energiekosten (Euro)_FCFS,43.72
Kosten (Cent per kWh)_FCFS,25.29
Zufriedenheit (%)_FCFS,77.78
