,0
Angek. Fzg._OPT,225.0
Gelad. Fzg._OPT,224.0
Gelad. Energie (MWh)_OPT,0.8134
F1_Fzg.- Auslastung (%)_OPT,99.56
F2_Energ. Auslastung(%)_OPT,440.16
F3_Zeitl. Auslastung (%)_OPT,13.15
Max. Gleichzeitigkeitsfaktor_OPT,84.71
Trafo Spitzenlast (%)_OPT,23.27
Total charging costs in Euro_OPT,26.6092
Total CO2 emissions in kge_OPT,503.32
Energy price per kWh_OPT,0.033
