,0
Angek. Fzg._OPT,550.0
Gelad. Fzg._OPT,533.0
Gelad. Energie (MWh)_OPT,6.1434
F1_Fzg.- Auslastung (%)_OPT,96.91
F2_Energ. Auslastung(%)_OPT,731.36
F3_Zeitl. Auslastung (%)_OPT,27.68
Max. Gleichzeitigkeitsfaktor_OPT,2351.07
Trafo Spitzenlast (%)_OPT,80.0
Total charging costs in Euro_OPT,189.45882
Total CO2 emissions in kge_OPT,3125.16
Energy price per kWh_OPT,0.031
