,0
Angek. Fzg._OPT,225.0
Gelad. Fzg._OPT,224.0
Gelad. Energie (MWh)_OPT,0.7245
F1_Fzg.- Auslastung (%)_OPT,99.56
F2_Energ. Auslastung(%)_OPT,392.05
F3_Zeitl. Auslastung (%)_OPT,13.15
Max. Gleichzeitigkeitsfaktor_OPT,84.71
Trafo Spitzenlast (%)_OPT,23.27
Total charging costs in Euro_OPT,23.94079
Total CO2 emissions in kge_OPT,329.65
Energy price per kWh_OPT,0.033
