,0
Angek. Fzg._OPT,225.0
Gelad. Fzg._OPT,224.0
Gelad. Energie (MWh)_OPT,1.4489
F1_Fzg.- Auslastung (%)_OPT,99.56
F2_Energ. Auslastung(%)_OPT,392.01
F3_Zeitl. Auslastung (%)_OPT,13.15
Max. Gleichzeitigkeitsfaktor_OPT,338.46
Trafo Spitzenlast (%)_OPT,35.5
Total charging costs in Euro_OPT,47.87643
Total CO2 emissions in kge_OPT,659.23
Energy price per kWh_OPT,0.033
