,0
Angek. Fzg._OPT,150.0
Gelad. Fzg._OPT,134.0
Gelad. Energie (MWh)_OPT,0.09
F1_Fzg.- Auslastung (%)_OPT,89.33
F2_Energ. Auslastung(%)_OPT,7.49
F3_Zeitl. Auslastung (%)_OPT,39.47
Max. Gleichzeitigkeitsfaktor_OPT,1.0
Trafo Spitzenlast (%)_OPT,12.5
Total charging costs in Euro_OPT,186.21
Total CO2 emissions in kge_OPT,3221.61
